method,status,evidence_scope,final_role
Baseline,FINAL_SELECTED_METHOD,FINAL_TEST,seed44 frozen checkpoint; only final TEST evaluation
Low-confidence diagnostic,POSITIVE_DIAGNOSTIC,VAL_DIAGNOSTIC,useful error analysis; not a final model
One-class diagnostic,NO_CLEAR_GAIN,VAL_DIAGNOSTIC,no clear reproducible gain
Hard Mining,NOT_CONFIRMED,VAL_MULTI_SEED,mean delta -0.005543; 1/3 positive seeds
ROI ResNet18 CE,COMPLETE_DIAGNOSTIC,ROI_VAL,classification diagnostic only
ROI ResNet18 CE + SupCon,POSITIVE_ROI_REPRESENTATION,ROI_VAL,representation result; not segmentation method
Stage2,NEGATIVE,VAL,negative downstream result
Knowledge Distillation,SKIPPED_BY_ENGINEERING_GATE,NOT_EVALUATED,not evaluated
SimSiam,INVALID_BY_BACKBONE_NO_UPDATE,NOT_EVALUATED,invalid; not evaluated
Uniform continued training,CONTROL_ONLY,VAL_MULTI_SEED,control only; not final candidate
Resolution study,NOT_FORMALLY_ANSWERED,FUTURE_WORK_ONLY,deferred by evidence
