experiment,figure,exists,what_it_explains,report_quality,missing_information,keep,regenerate,new_figure_needed
exp02-baseline,results/fast_repro/figures/exp02_baseline/BoxF1_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/BoxPR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/BoxP_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/BoxR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/MaskF1_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/MaskPR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/MaskP_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/MaskR_curve.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/confusion_matrix.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/confusion_matrix_normalized.png,true,类别混淆结构,report_ready,由中文图索引补充讲解口径,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/labels.jpg,true,训练或评估过程的原始可视化证据,report_ready,由中文图索引补充讲解口径,true,false,false
exp02-baseline,results/fast_repro/figures/exp02_baseline/results.png,true,训练或 P/R/F1/PR 曲线,report_ready,由中文图索引补充讲解口径,true,false,false
