file,language,chinese_ratio,english_ratio,document_type,authoritative_or_summary,needs_translation,needs_rewrite,recommended_action
AGENTS.md,zh-dominant,0.8419,0.1581,supporting_document,supporting,false,false,keep_original_and_index
CHANGELOG.md,mixed,0.3445,0.6555,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
README.md,zh-dominant,0.7112,0.2888,project_summary,summary,false,false,keep_original_reference_from_zh_hub
ROADMAP.md,en-dominant,0.0000,1.0000,project_summary,summary,true,true,keep_original_create_full_zh_reorganization
docs/00_project_scope.md,zh-dominant,0.8634,0.1366,project_summary,summary,false,false,keep_original_reference_from_zh_hub
docs/01_dataset_audit.md,zh-dominant,0.7604,0.2396,supporting_document,supporting,false,false,keep_original_and_index
docs/DECISION_LOG.md,zh-dominant,0.7762,0.2238,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/HISTORICAL_METHODS.md,zh-dominant,0.7602,0.2398,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/PROJECT_STATE.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/exp00_0_environment_audit.md,zh-dominant,0.8122,0.1878,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp00_1_schema_pair_audit.md,zh-dominant,0.8263,0.1737,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp00_2_class_polygon_audit.md,zh-dominant,0.8115,0.1885,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp00_3_duplicate_audit.md,zh-dominant,0.8981,0.1019,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp00_4_unpaired_image_review.md,zh-dominant,0.8956,0.1044,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp00_5_near_duplicate_conflict_review.md,zh-dominant,0.8587,0.1413,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp01_0_json_to_yolo.md,zh-dominant,0.7133,0.2867,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp01_1_group_aware_split.md,mixed,0.6821,0.3179,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp01_2_dataset_freeze.md,zh-dominant,0.7339,0.2661,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp02_0_smoke_batch_probe.md,mixed,0.6930,0.3070,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp02_1_yolo11n_seg_640_baseline.md,mixed,0.5825,0.4175,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp02_2_baseline_size_error_audit.md,zh-dominant,0.7252,0.2748,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp02_2a_early_val_nan_root_cause.md,mixed,0.6006,0.3994,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp03_low_conf_fast_repro.md,mixed,0.5000,0.5000,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/exp04_crack_oneclass_fast_repro.md,mixed,0.5565,0.4435,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/exp05_hard_mining_fast_repro.md,mixed,0.3832,0.6168,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/exp06_roi_resnet_fast_repro.md,mixed,0.4647,0.5353,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/exp06_supcon_fast_repro.md,mixed,0.3368,0.6632,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/exp07_stage2_fast_repro.md,mixed,0.4063,0.5938,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/exp08_kd_fast_repro.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/exp09_simsiam_fast_repro.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/exp09_transfer_verification_repair.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/exp10_1a_seed43_treatment_nan_root_cause.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/exp10_1b_true_fp32_verification.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/exp10_controlled_restart.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/exp10_three_seed_final_verify.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,true,keep_original_create_zh_companion
docs/experiment_index.md,en-dominant,0.0000,1.0000,project_summary,summary,true,true,keep_original_create_full_zh_reorganization
docs/final_ablation_report.md,en-dominant,0.0000,1.0000,project_summary,summary,true,true,keep_original_create_full_zh_reorganization
docs/final_candidate_freeze.md,mixed,0.5396,0.4604,project_summary,summary,true,true,keep_original_create_full_zh_reorganization
docs/final_project_summary.md,en-dominant,0.1263,0.8737,project_summary,summary,true,true,keep_original_create_full_zh_reorganization
docs/handoffs/EXP00_TO_EXP01.md,en-dominant,0.0570,0.9430,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/handoffs/EXP01_TO_EXP02.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,false,keep_original_create_zh_companion
docs/handoffs/EXP02_BASELINE_REVIEW.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,true,keep_original_create_zh_companion
docs/handoffs/EXP02_NAN_ROOT_CAUSE_REVIEW.md,mixed,0.5690,0.4310,authoritative_experiment_or_gate,authoritative,false,true,keep_original_create_full_zh_reorganization
docs/handoffs/EXP10_1A_NAN_ROOT_CAUSE_REVIEW.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,true,keep_original_create_zh_companion
docs/handoffs/EXP10_1B_TRUE_FP32_REVIEW.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,true,keep_original_create_zh_companion
docs/handoffs/EXP10_FINAL_VERIFY_REVIEW.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,true,keep_original_create_zh_companion
docs/handoffs/EXP11_EVALUATION_INVALIDATING_GATE.md,zh-dominant,0.8012,0.1988,authoritative_experiment_or_gate,authoritative,false,false,keep_original_reference_from_zh_hub
docs/handoffs/EXP11_FINAL_PROJECT_REVIEW.md,mixed,0.4870,0.5130,authoritative_experiment_or_gate,authoritative,true,true,keep_original_create_zh_companion
docs/handoffs/FASTTRACK_A_REVIEW.md,mixed,0.6667,0.3333,authoritative_experiment_or_gate,authoritative,false,true,keep_original_create_full_zh_reorganization
docs/handoffs/FASTTRACK_B_REVIEW.md,mixed,0.5112,0.4888,authoritative_experiment_or_gate,authoritative,true,true,keep_original_create_zh_companion
docs/handoffs/FASTTRACK_C_REVIEW.md,en-dominant,0.0000,1.0000,authoritative_experiment_or_gate,authoritative,true,true,keep_original_create_zh_companion
docs/handoffs/NEW_DATASET_FULL_REVIEW_HANDOFF.md,mixed,0.5936,0.4064,authoritative_experiment_or_gate,authoritative,false,true,keep_original_create_full_zh_reorganization
docs/method_reconstruction.md,en-dominant,0.0000,1.0000,supporting_document,supporting,false,false,keep_original_and_index
docs/new_dataset_experiment_timeline.md,en-dominant,0.0000,1.0000,project_summary,summary,true,true,keep_original_create_full_zh_reorganization
docs/new_dataset_figure_index.md,en-dominant,0.0000,1.0000,project_summary,summary,true,true,keep_original_create_full_zh_reorganization
docs/new_dataset_full_experiment_review.md,zh-dominant,0.7082,0.2918,project_summary,summary,false,true,keep_original_create_full_zh_reorganization
docs/new_dataset_research_takeaways.md,en-dominant,0.0000,1.0000,project_summary,summary,true,true,keep_original_create_full_zh_reorganization
docs/paper_materials.md,en-dominant,0.0000,1.0000,project_summary,summary,true,true,keep_original_create_full_zh_reorganization
docs/proposed_split_policy.md,zh-dominant,0.7669,0.2331,supporting_document,supporting,false,false,keep_original_and_index
environment_report.md,en-dominant,0.0000,1.0000,supporting_document,supporting,false,false,keep_original_and_index
training_environment_report.md,en-dominant,0.0467,0.9533,supporting_document,supporting,false,false,keep_original_and_index
