Experiment,Outcome,What_worked,What_failed,Why,Scientific_value,Engineering_value,Should_revisit,Revisit_condition
Exp00-01,PASS,"Schema/polygon audit; authoritative-label policy; group-aware frozen split","True video/engine/workpiece IDs unavailable","Only visual hashes and metadata clues were available",High-quality leakage-aware dataset foundation,Reproducible hashes and manifests,NO,Only if real acquisition metadata becomes available
Exp02,PASS_WITH_NUMERICAL_WAIVER,"100 epochs; finite train loss; valid checkpoints; independent VAL","Epoch1-5 training-validation AMP loss","C2PSA FP16 qk overflow",Reference segmentation evidence,Shows value of numerical root-cause audit,NO,Only if numerical-policy replication is required
Exp03,POSITIVE_DIAGNOSTIC,"Identified 91/173 recoverable FN","Threshold-only deployment","Recall gain caused severe FP explosion",Explains latent low-confidence response,Provides reusable fixed-point evaluator,NO,Stage2 route already tested
Exp04,NO_CLEAR_GAIN,"Controlled Crack-only diagnostic completed","No convincing recall/AP improvement","Multiclass competition was not the dominant bottleneck",Narrows failure mechanism,Valid one-class reconstruction,NO,No supporting evidence
Exp05,PRELIMINARY_POSITIVE_NOT_ROBUST,"Fair seed42 matched-budget comparison","Multi-seed robustness","Treatment effect reversed on seeds43/44",Demonstrates importance of budget controls and multi-seed evidence,Sampler/fairness audits reusable,NO,Exp10 already provides decisive test
Exp06 CE,COMPLETE_DIAGNOSTIC,"Useful ROI classification for most classes","corrosion/background confusion remains",Classification is easier only after localization and not uniformly,Separates representation from localization difficulty,Reusable ROI manifest,NO,Enough for current research question
Exp06 SupCon,SUPCON_POSITIVE,"Macro F1 and difficult-class recall improved","No direct segmentation evidence","Representation gain did not guarantee system gain",Positive ROI representation result,Stable non-collapse training evidence,NO,Stage2 already evaluated downstream use
Exp07,NEGATIVE,"Filtered many FP and tested two decision rules","Recall/FN trade-off; F1 below baseline","Most recoverable candidates were unavailable before Stage2",Shows representation success does not imply system success,Fixed-point system analysis,NO,Current decision-rule route closed
Exp08,SKIPPED_BY_ENGINEERING_GATE,"Finite graph/smoke checks and bottleneck localization","Formal AUX_CE/KD training unavailable","Online teacher ROI path exceeded practical runtime",No method-effect claim; valid feasibility result,Clear cache/dataloader redesign requirement,NO,Only in a separately funded engineering phase
Exp09,INVALID_BY_BACKBONE_NO_UPDATE,"Finite 100-epoch SSL; transfer mechanism verified","0/120 trainable backbone parameters changed","Reconstruction updated BN buffers but not trainable backbone",Prevents invalid performance claims,Strong parameter-transfer audit lesson,NO,Only as a new independent SSL reconstruction study
Exp10,HARD_MINING_NOT_CONFIRMED,"All controlled numerical/fairness gates and three-seed comparison passed","Hard Treatment not robust","Paired delta positive on only 1/3 seeds",Highest-level method conclusion,Fail-fast controlled restart and artifact audits,NO,No further Hard Mining tuning in current reproduction
