figure_id,experiment,figure_path,figure_type,source_data,source_checkpoint,split,sample_ids,new_inference_required,visualization_only_reinference,metric_selection_performed,test_accessed,caption_cn,status
R06-CE-01,Exp06 CE,results/report_visualization_retro/exp06_roi_ce/per_class_precision_recall_f1_support.png,grouped_bar,results/fast_repro/exp06_roi/ce/metrics.json,0e5e1a54755c4a68a4acbe80d7a9c3015fc0809e060b1cc4fd428524e69e1b97,VAL ROI,N/A,false,false,false,false,多数 ROI 类别可分；corrosion 与 background/defect 混淆明显。,PASS
R06-SC-01,Exp06 SupCon,results/report_visualization_retro/exp06_supcon/ce_vs_supcon_overall.png,grouped_bar,CE/SupCon metrics.json,8e22f17c029eb0f3cb9416673a3503e0d37c7b98b91f126da2107e23fe58c32b,VAL ROI,N/A,false,false,false,false,SupCon 的 ROI macro F1 比 CE 高 0.015894；不外推为 segmentation 提升。,PASS
R06-SC-02,Exp06 SupCon,results/report_visualization_retro/exp06_supcon/per_class_recall_delta.png,delta_bar,CE/SupCon metrics.json,8e22f17c029eb0f3cb9416673a3503e0d37c7b98b91f126da2107e23fe58c32b,VAL ROI,N/A,false,false,false,false,SupCon−CE Recall；Tip curl 仅 3 个样本，负差值需谨慎解释。,PASS
R06-SC-03,Exp06 SupCon,results/report_visualization_retro/exp06_supcon/per_class_f1_delta.png,delta_bar,CE/SupCon metrics.json,8e22f17c029eb0f3cb9416673a3503e0d37c7b98b91f126da2107e23fe58c32b,VAL ROI,N/A,false,false,false,false,SupCon−CE F1；总体为正但并非所有类别均改善。,PASS
R06-SC-04,Exp06 SupCon,results/report_visualization_retro/exp06_supcon/ce_vs_supcon_confusion_matrix.png,confusion_matrix_comparison,CE/SupCon metrics.json,8e22f17c029eb0f3cb9416673a3503e0d37c7b98b91f126da2107e23fe58c32b,VAL ROI,N/A,false,false,false,false,相同 VAL ROI 上的 CE 与 SupCon 行归一化混淆矩阵。,PASS
R07-01,Exp07,results/report_visualization_retro/exp07_stage2/fixed_point_quantitative_comparison.png,grouped_bar,"results/fast_repro/exp07_stage2/{grid.csv,summary.json}",8e22f17c029eb0f3cb9416673a3503e0d37c7b98b91f126da2107e23fe58c32b,VAL,N/A,false,false,false,false,Mode A/B 均未超过 YOLO .25 的 F1；不得虚构 AP。,PASS
R07-02,Exp07,results/report_visualization_retro/exp07_stage2/fp_fn_comparison.png,grouped_bar,"results/fast_repro/exp07_stage2/{grid.csv,summary.json}",8e22f17c029eb0f3cb9416673a3503e0d37c7b98b91f126da2107e23fe58c32b,VAL,N/A,false,false,false,false,Stage2 的 FP 收益不足以抵消 TP 删除和 FN 增加。,PASS
R07-03,Exp07,results/report_visualization_retro/exp07_stage2/selected_success_failure_cases.png,contact_sheet_reuse,results/fast_repro/figures/exp07_stage2/qualitative/success_filter_fp__45.jpg;results/fast_repro/figures/exp07_stage2/qualitative/error_filter_tp__160.jpg;results/fast_repro/figures/exp07_stage2/qualitative/success_reclassify__648.jpg;results/fast_repro/figures/exp07_stage2/qualitative/error_reclassify__187.jpg;results/fast_repro/figures/exp07_stage2/qualitative/success_keep_low_conf_tp__42.jpg;results/fast_repro/figures/exp07_stage2/qualitative/error_filter_tp__10.jpg,8e22f17c029eb0f3cb9416673a3503e0d37c7b98b91f126da2107e23fe58c32b,VAL,N/A,false,false,false,false,复用历史定性案例；没有重新推理，也没有修改 Stage1 mask。,PASS
R09-01,Exp09,results/report_visualization_retro/exp09_simsiam/ssl_training_diagnostics.png,line_chart,results/fast_repro/exp09_simsiam/ssl/history.csv,N/A,TRAIN only,N/A,false,false,false,false,训练表面有限且无明显 collapse，但后续参数审计发现 0/120 trainable 参数改变。,PASS
R09-02,Exp09,results/report_visualization_retro/exp09_simsiam/backbone_parameter_audit.png,parameter_audit,results/fast_repro/exp09_transfer_repair/transfer_gate_report.json,N/A,TRAIN audit,N/A,false,false,false,false,trainable changed=0/120；BN buffers changed=120/120，因此 reconstruction 无效。,PASS
R09-03,Exp09.2a,results/report_visualization_retro/exp09_simsiam/transfer_verification_summary.png,verification_bar,results/fast_repro/exp09_transfer_repair/transfer_gate_report.json,N/A,Engineering audit,N/A,false,false,false,false,key/shape 240/240、immediate trainable 120/120、两种 round-trip 240/240。,PASS
R09-04,Exp09,results/report_visualization_retro/exp09_simsiam/exp09_failure_chain.png,flow_diagram,Exp09/Exp09.2a Markdown + JSON,N/A,TRAIN/engineering audit,N/A,false,false,false,false,SimSiam reconstruction 的完整工程有效性诊断链。,PASS
R-PROJ-01,Project,results/report_visualization_retro/project_overview/full_project_pipeline.png,flow_diagram,PROJECT_STATE + Exp00–Exp11 final evidence,N/A,N/A,N/A,false,false,false,false,项目不是连续找到更好模型，而是通过 Gate 与多 seed 排除不稳健方案。,PASS
