pilot_id,class,source_id,source_image_path,original_mask_path,inpaint_mask_path,prompt_id,prompt_text,seed,model_name,model_revision,inference_width,inference_height,num_inference_steps,guidance_scale,strength_if_applicable,output_path,status,failure_reason
crack_86_v1,Crack,86,results/exp13_diffusion_pilot/run_20260921_120819/crack/inputs/vlm_01_86.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/original/vlm_01_86_mask.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/inpaint/vlm_01_86_mask.png,crack_human_reviewed_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",13001,runwayml/stable-diffusion-inpainting,main,512,512,20,7.5,0.95,results/exp13_diffusion_pilot/run_20260921_120819/crack/outputs/crack_86_v1.png,PENDING,
crack_86_v2,Crack,86,results/exp13_diffusion_pilot/run_20260921_120819/crack/inputs/vlm_01_86.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/original/vlm_01_86_mask.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/inpaint/vlm_01_86_mask.png,crack_human_reviewed_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",13002,runwayml/stable-diffusion-inpainting,main,512,512,20,7.5,0.95,results/exp13_diffusion_pilot/run_20260921_120819/crack/outputs/crack_86_v2.png,PENDING,
crack_111_v1,Crack,111,results/exp13_diffusion_pilot/run_20260921_120819/crack/inputs/vlm_02_111.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/original/vlm_02_111_mask.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/inpaint/vlm_02_111_mask.png,crack_human_reviewed_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",13001,runwayml/stable-diffusion-inpainting,main,512,512,20,7.5,0.95,results/exp13_diffusion_pilot/run_20260921_120819/crack/outputs/crack_111_v1.png,PENDING,
crack_111_v2,Crack,111,results/exp13_diffusion_pilot/run_20260921_120819/crack/inputs/vlm_02_111.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/original/vlm_02_111_mask.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/inpaint/vlm_02_111_mask.png,crack_human_reviewed_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",13002,runwayml/stable-diffusion-inpainting,main,512,512,20,7.5,0.95,results/exp13_diffusion_pilot/run_20260921_120819/crack/outputs/crack_111_v2.png,PENDING,
crack_146_v1,Crack,146,results/exp13_diffusion_pilot/run_20260921_120819/crack/inputs/vlm_03_146.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/original/vlm_03_146_mask.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/inpaint/vlm_03_146_mask.png,crack_human_reviewed_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",13001,runwayml/stable-diffusion-inpainting,main,512,512,20,7.5,0.95,results/exp13_diffusion_pilot/run_20260921_120819/crack/outputs/crack_146_v1.png,PENDING,
crack_146_v2,Crack,146,results/exp13_diffusion_pilot/run_20260921_120819/crack/inputs/vlm_03_146.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/original/vlm_03_146_mask.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/inpaint/vlm_03_146_mask.png,crack_human_reviewed_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",13002,runwayml/stable-diffusion-inpainting,main,512,512,20,7.5,0.95,results/exp13_diffusion_pilot/run_20260921_120819/crack/outputs/crack_146_v2.png,PENDING,
crack_260_v1,Crack,260,results/exp13_diffusion_pilot/run_20260921_120819/crack/inputs/vlm_04_260.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/original/vlm_04_260_mask.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/inpaint/vlm_04_260_mask.png,crack_human_reviewed_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",13001,runwayml/stable-diffusion-inpainting,main,512,512,20,7.5,0.95,results/exp13_diffusion_pilot/run_20260921_120819/crack/outputs/crack_260_v1.png,PENDING,
crack_260_v2,Crack,260,results/exp13_diffusion_pilot/run_20260921_120819/crack/inputs/vlm_04_260.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/original/vlm_04_260_mask.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/inpaint/vlm_04_260_mask.png,crack_human_reviewed_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",13002,runwayml/stable-diffusion-inpainting,main,512,512,20,7.5,0.95,results/exp13_diffusion_pilot/run_20260921_120819/crack/outputs/crack_260_v2.png,PENDING,
crack_312_v1,Crack,312,results/exp13_diffusion_pilot/run_20260921_120819/crack/inputs/vlm_05_312.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/original/vlm_05_312_mask.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/inpaint/vlm_05_312_mask.png,crack_human_reviewed_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",13001,runwayml/stable-diffusion-inpainting,main,512,512,20,7.5,0.95,results/exp13_diffusion_pilot/run_20260921_120819/crack/outputs/crack_312_v1.png,PENDING,
crack_312_v2,Crack,312,results/exp13_diffusion_pilot/run_20260921_120819/crack/inputs/vlm_05_312.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/original/vlm_05_312_mask.png,results/exp13_diffusion_pilot/run_20260921_120819/masks/inpaint/vlm_05_312_mask.png,crack_human_reviewed_v1,"A realistic thin industrial crack or fracture on a metallic engine interior surface, appearing as a narrow dark fracture line with thin linear or slightly curved morphology and optional subtle branching, irregular but natural sharp boundaries, preserving the original metallic surface texture, component geometry, and realistic borescope illumination. Preserve the surrounding structure. Do not create a scratch, paint mark, or stain.",13002,runwayml/stable-diffusion-inpainting,main,512,512,20,7.5,0.95,results/exp13_diffusion_pilot/run_20260921_120819/crack/outputs/crack_312_v2.png,PENDING,
