Experiment,Method,Category,Historical_or_extension,Primary_question,Status,Formal_training_completed,Comparable_segmentation_result,Primary_metric,Primary_value,Single_seed_or_multi_seed,Test_accessed,Main_finding,Failure_or_gate_reason,Keep_for_future,Reason,Evidence_path
Exp00,Dataset and leakage audit,Diagnostic,Project foundation,Is the raw dataset valid and leakage-manageable?,COMPLETE,N/A,NO,Supervised images / instances,969 / 1847,N/A,false,"Seven classes; 20.83:1 imbalance; 24 unpaired excluded; 88 near-duplicate groups","No model result; real acquisition IDs unavailable",YES,Required reproducibility foundation,docs/01_dataset_audit.md
Exp01,Frozen conversion and group-aware split,Project foundation,Project foundation,Can a leakage-safe reproducible dataset be frozen?,PASS,NO,NO,Split images,668 / 154 / 147,N/A,false,"Zero near-duplicate cross-split leakage; frozen hashes recorded",N/A,YES,Required data provenance,docs/exp01_2_dataset_freeze.md
Exp02,YOLO11n-seg 640 baseline,Baseline,Baseline,What is the reference segmentation performance?,PASS_WITH_NUMERICAL_WAIVER,YES,YES,VAL Mask mAP50-95,0.29898123412927496,Seed42 plus Exp10 multi-seed,false,"Valid final checkpoint and finite independent VAL","Epoch1-5 training-validation AMP overflow in C2PSA qk; explicit waiver",YES,Reference model,docs/exp02_1_yolo11n_seg_640_baseline.md
Exp02.2,Size and error audit,Diagnostic,Project diagnostic,Are errors dominated by the smallest targets?,PASS,NO,NO,Fixed-point TP/FP/FN,123 / 99 / 173,Single seed diagnostic,false,"Recall is not monotonic with size; localization is a major error source",Diagnostic only,YES,Supports mechanism discussion,docs/exp02_2_baseline_size_error_audit.md
Exp02.3,960/1280 resolution ablation,Diagnostic,Deferred study,Does higher resolution improve small defects?,DEFERRED_BY_EVIDENCE,NO,NO,N/A,N/A,NOT_RUN,false,"Research question remains formally unanswered","Existing size audit did not show monotonic smaller-is-worse behavior",OPTIONAL,Only if RQ2 must be closed,ROADMAP.md
Exp03,Low-confidence recovery,Diagnostic,Historical reconstruction,Do recoverable low-confidence candidates exist?,POSITIVE_DIAGNOSTIC,NO,NO,Recoverable FN,91 / 173 (52.6%),Single seed diagnostic,false,"Low-confidence responses exist but threshold reduction causes FP explosion",Threshold-only deployment fails,YES,Useful error-analysis evidence,docs/exp03_low_conf_fast_repro.md
Exp04,Crack one-class,Diagnostic,Historical reconstruction,Is multiclass competition the main Crack bottleneck?,NO_CLEAR_GAIN,YES,PARTIAL,Crack Mask AP50-95,0.055484,Single seed,false,"One-class training did not produce a clear gain",Recall decreased and AP gain was small,NO,Localization/representation/intrinsic difficulty better supported,docs/exp04_crack_oneclass_fast_repro.md
Exp05,Hard Mining seed42,System method,Historical reconstruction,Can hard-sample reweighting improve segmentation?,POSITIVE_CANDIDATE_SUPERSEDED_BY_EXP10,YES,YES,Treatment-Control Mask mAP50-95 delta,+0.030354,Single seed,false,"Preliminary positive candidate under matched budget","Not robust under three-seed Exp10",NO,Use only as preliminary evidence,docs/exp05_hard_mining_fast_repro.md
Exp06.1,ResNet18 ROI CE,Representation,Historical reconstruction,How separable are classes given GT-localized ROIs?,COMPLETE_DIAGNOSTIC,YES,NO,VAL macro F1,0.677804,Single seed,false,"Most defect classes are classifiable after localization; corrosion/background remain difficult",Different task and metric domain,YES,Supports partial localization-versus-classification conclusion,docs/exp06_roi_resnet_fast_repro.md
Exp06.2,ResNet18 ROI CE plus SupCon,Representation,Historical reconstruction,Does contrastive supervision improve ROI representation?,SUPCON_POSITIVE,YES,NO,VAL macro F1,0.693698,Single seed,false,"ROI macro F1 +0.015894 and difficult-class recall gains",Cannot be extrapolated to segmentation,YES,Positive representation evidence,docs/exp06_supcon_fast_repro.md
Exp07,YOLO plus Stage2 ResNet,System method,Historical reconstruction,Can a classifier rescue low-confidence candidates while controlling FP?,NEGATIVE,NO new segmentation training,YES_FIXED_POINT,Best fixed-point Mask F1,0.452336,Single seed system evaluation,false,"FP can be reduced but recall/FN trade-off prevents a system gain","Mode A and B both below YOLO baseline fixed-point F1",NO,Route closed under current decision rule,docs/exp07_stage2_fast_repro.md
Exp08,Classifier teacher to YOLO KD,Engineering-gated,Historical reconstruction,Can ROI teacher knowledge transfer to segmentation?,SKIPPED_BY_ENGINEERING_GATE,NO,NO,Mask mAP50-95,N/A,NOT_EVALUATED,false,"No method-effect conclusion","Online teacher ROI extraction exceeds 70 s per batch32 step; cache/dataloader redesign required",NO,Cost-benefit insufficient for current reproduction,docs/exp08_kd_fast_repro.md
Exp09,SimSiam YOLO backbone adaptation,Invalid reconstruction,New extension,Does self-supervised adaptation improve the YOLO backbone?,INVALID_BY_BACKBONE_NO_UPDATE / NOT_EVALUATED,YES_SSL_ONLY,NO,Trainable backbone parameters changed,0 / 120,NOT_EVALUATED,false,"SSL loss was finite and non-collapsed but did not adapt trainable backbone parameters","Invalid reconstruction blocked downstream by Gate",NO,Do not interpret as negative performance,docs/exp09_simsiam_fast_repro.md
Exp09.2a,Transfer verification repair,Method reconstruction,New extension,Was the transfer mechanism itself correct?,PASS_REVISED,NO,NO,Transfer tensors matched,240 / 240,N/A,false,"Transfer mechanism is valid after dtype-aware audit",Upstream SSL still changed 0/120 trainable parameters,NO,Engineering lesson only,docs/exp09_transfer_verification_repair.md
Exp10,Baseline vs Uniform Control vs Hard Treatment,Final verification,Historical reconstruction,Is Hard Mining effective after budget control and across seeds?,HARD_MINING_NOT_CONFIRMED,YES,YES,Treatment-Control Mask mAP50-95 delta,-0.005543 ± 0.035346,Three seeds,false,"Only 1/3 seeds positive; fair paired effect negative on average",Seed sensitivity and lack of robustness,NO,Final evidence supersedes Exp05 candidate,docs/exp10_three_seed_final_verify.md
Review10.5,New Dataset Full Experiment Review,Project review,Project synthesis,Is the evidence sufficient and what should happen next?,COMPLETE,NO,NO,N/A,N/A,All existing evidence,false,"Experiment chain is sufficient for direct finalization; RQ2 remains optional",No new model experiment or TEST allowed,YES,Human decision support,docs/new_dataset_full_experiment_review.md
